,Film,Song,Raga
119,Sansar,Pyar Hamara Munna ,Brindavani Sarang
120,Dil Diya Dard Liya,Saavan Aye Ya Na Aye,Brindavani Sarang
121,Sunhare Din,Tum Sang Akhiyan Milake,Brindavani Sarang
122,Milan (It appears that this song was omitted from some versions of the film),Aaj Dil Pe Koi Zor Chalta Nahin,Charukesi
123,(non-film song),Aisa Lagta Hai Zindagi Tum Ho,Charukesi
124,Raaz,Akele Hain Chale Ao,Charukesi
125,Dastak (Old),Bainya Na Dharo,Charukesi
126,Arzoo,Bedardi Balama,Charukesi
127,Haseena Maan Jayegi,Bekhudi Mein Sanam,Charukesi
128,Mere Humdam Mere Dost,Chalo Sajna Jahaan Tak,Charukesi
129,Saraswati Chandra,Chhod De Saari Duniya Kisi Ke Liye,Charukesi
130,(non-film song) - Album Mast Nazaren (Live),Dukh Ki Laharne Cheda Hoga,Charukesi
131,Himalay Ki God Mein,Ek Tu Jo Mila,Charukesi
132,Jaan Baaz,Jaan-E-Jaana...Jab Jab Teri Surat Dekhun,Charukesi
133,Mere Hamsafar ,Kisi Raha Men Kisi Mod Par (a.k.a Mere Hamsafar),Charukesi
134,Purab Aur Paschim,Koi Jab Tumhara Hriday Tood De,Charukesi
135,Pyaasa Saawan,Megha Re Megha Re...,Charukesi
136,Maryada,"Mohabbat Ke Suhane Din, Javani Ki Hansi Raaten",Charukesi
137,Geet Gata Chal,Shyam Teri Bansi Pukare Radha Naam,Charukesi
138,Diwanaa,Teri Ummid Tera Intzaar Karte Hai,Charukesi
139,Jahan Ara,Baad Muddat Ki Yeh Ghadi Ayi,Chayanat
140,Samundar,"Chaina Nahin Aye, Kahan Dil Jaye",Chayanat
141,Ziddi,"Chanda Re, Ja Re Ja Re",Chayanat
142,Kaala Paani,Ham Bekhudi Men Tumko Pukare Chale Gaye,Chayanat
143,Papa Kehte Hain,Mujhse Naraz Ho To,Chayanat
144,Talaash,Tere Naina Talash Kare Jise,Chayanat
145,Aarzu,Aaji Ruth Kar Ab Kahan Jaiega,desh
146,Neela Akash,Aap Ko Pyar Chupane Ki Buri Adat Hai,desh
147,Kalpana,Beqasi Had Se Jab Guzar Jaye,desh
148,"(non-film song) album- ""Live in Fiji""",Chadariya Jhini Re Jhini,desh
149,Devdas,Dukh Ke Ab Din Bitat Nahi,desh
150,Main Suhagan Hun,"Gori Tore Naina, Nainava Kajar Bin Kare Kare",desh
151,Bhakta Surdaas,Kadam Chale Age,desh
152,The Adventures Of Robinhood,Mana Mere Haseen Sanam,desh
153,Maan,Mere Pyar Men Tujhe Kya Mila,desh
154,Tadbir,Milne Ka Din Aa Gaya,desh
155,Seeta-Rama Kalyanam,Paadave Ragamayi,desh
156,Anubhav,Phir Kahin Koi Phul Khila,desh
157,Jhanak Jhanak Paayal Baaje,Sainya Ja Ja Mose Na Bolo Kahe Ko Neha Lagaye,desh
158,Sehraa,Takdir Ka Fasaana,desh
159,Non Film Song,Vande Mataram,desh
160,Baiju Bawra,Aaj Gaavat Man Mero Jhumke,Deshi
161,Sargam,Jab Dil Ko Satae Gam,Devagandhari
162,non film song,Jhulana Jhulao,Devagandhari
163,Hum Dono,Prabhu Tero Nam Jo Dhyae Phal Paye,Dhani
164,Banjaarin,Chanda Re Mori Patiya Le Ja,durga
165,Geet Gaya Pattharon Ne,Geet Gaya Pattharon Ne,durga
