,Film,Song,Raga
772,Jhanak Jhanak Payel Baje,Mere Ai Dil Bata,bhairavi
773,(non-film song),Meri Tanhaiyon Tum Hi Lagalo Mujhko Sinese,bhairavi
774,Kasme Vaade,"Mile Jo Kadi Kadi, Ek Zanjeer Bane",bhairavi
775,(non-film song),Mile Sur Tera Hamara,bhairavi
776,Kinara,Mithe Bol Bole,bhairavi
777,Jawaab,Mitwa Re Mitwa Purab Na Jaio,bhairavi
778,Mayur Pankh,Mohabbat Ki Dastan Aaj Suno,bhairavi
779,Ghunghat,Mori Chhum Chhum Baje Payeliya,bhairavi
780,"Dil Bhi Tera, Hum Bhi Tere",Mujhko Is Raat Ki Tanhai Main,bhairavi
781,Alor Pipasa,Na Bajayi Ho Shyam,bhairavi
782,Meri Surat Teri Aankhen,Nache Man Mora Magan Dhig Dha Dhigi Dhigi,bhairavi
783,Jahan Pyar Mile,Nas Nas Mein Agan,bhairavi
784,Aadi Raat Ke Baad,O Gauri Tori Banki,bhairavi
785,Ashiq,O Shama Mujhe Funk De,bhairavi
786,Shaheed,Pagadi Sambhal Jhatta,bhairavi
787,(non-film song),Phir Kisi Raha Guzar Par Shayad,bhairavi
788,Dooj Ka Chaand,Phool Gendava Na Maaro,bhairavi
789,Shri 420,Pyaar Hua Ikraar Hua,bhairavi
790,Aah,Raja Ki Ayegi Baraat,bhairavi
791,Shri 420,Ramiya Vastaavaiya,bhairavi
792,Anaadi,Sab Kuch Sikha Hamne,bhairavi
793,Chand Mere Aja,"Sajna, Sajna Kahe Bhul Gaye Din Pyar Ke",bhairavi
794,Ek Phool Do Mali,Sajna Sajna O Sajna,bhairavi
795,Anuradha,Sanvare Sanvare,bhairavi
796,Luck By Chance,Sapno Se Bhare Naina,bhairavi
797,Sahib Bibi Aur Ghulam,Saqiya Aaj Mujhe Nind Nahi Ayegi,bhairavi
798,Bhakta Surdas,Sar Pe Kaddam Ki Chainya,bhairavi
799,Dil Apna Aur Prit Paraiyi,Sheesha-e-Dil Itna Na Uchha Lo,bhairavi
800,Jism,Shikayat Hai,bhairavi
801,Johar Mehmood In Goa,Sikandar Bhi Aaye...Na Koi Raha,bhairavi
802,Baalak,Sun Le Bapu Ye Paigham,bhairavi
803,Anuraag,"Sun Ri Pavan, Pavan Puravaiya",bhairavi
804,Gulami,"Sunai Deti Hai Jiski Dhadkan (A.K.A Zihaal-e-Mastii, Makun-b-Ranjish)",bhairavi
805,Seema,Suno Chhoti Si Gudiya Ki Lambi Kahani,bhairavi
806,Barkha,"Sur Badale Kaise, Kaise Dekho Kismat Ki Shahana",bhairavi
807,Guest House,Tera Jadu Na Chalega,bhairavi
808,Anari,Tera Jana,bhairavi
809,Shabnam,Teri Nigahon Pe Mar,bhairavi
810,Baiju Bawra,Tu Ganga Ki Mauj Main Jamunaa Ka Dhaaraa,bhairavi
811,Dhool Ka Phool,Tu Hindu Banega Na Musalman Banega,bhairavi
812,Main Chup Rahungi,"Tum Hi Ho Mata, Pitaa Tumhi Ho",bhairavi
813,Sohni Mahiwal,Tumhare Sang Main Bhi Chalungi,bhairavi
814,Ayee Milan Ki Bela,Tumhen Aur Kya Dun Main Dil Ke Sivay,bhairavi
815,Andaaz ,Tute Na Dil Tute Na,bhairavi
816,Waqt,Waqt Se Din Aur Raat,bhairavi
817,Saanj Aur Savera,Yahi Hai Woh Saanj Aur Savera (A.K.A. Jiske Liye Tadape Ham),bhairavi
818,(non-film song),Ye Dil Yeh Paagal Dil Mera Kyon Bujh Gaya Awaaragi,bhairavi
819,Shair,"Ye Duniya Hai, Yanha Dil Ka",bhairavi
820,Hariyali Aur Raasta,Ye Hariyali Aur Ye Raasta,bhairavi
821,Mela,Yeh Zindagi Ke Mele,bhairavi
