,Thaat,Vadi,Samvadi,Jati,Time of day,Mukhya-Ang,Aaroh-Avroh,Raag,link
109,Marwa,Dhaivat,Gandhar,Audhav-Shadhav,Midnight,M D N S r S ; N D N D ; S r S r N S N D G M G ; ,S G M D N S - S N D N D M G r S ;,Sohani,http://www.tanarang.com/english/sohani_eng.htm
110,Kafi,Pancham,Shadj,Shadhav-Shadhav,Late morning,P n m P S ; n n P m R S R (m)g ; g m R S ;,",n S ; (m)g (m)g m ; P n P ; P n m P S; (Suha) or ,n S R m P ; P n P n S ; (Sughrai) - <br>S P n P m P (m)g m R S ; (Suha) or S n P m R S R (m)g m R S ; (Sughrai)",Suha Sughrai,http://www.tanarang.com/english/suha-sughrai_eng.htm
111,-,-,-,Audhav-Audhav,Late morning,"S r G P n P ; G P n ; P G r S ; r S ,n S r S; ",S r G P n S - S n P G ; P G r S ;,Sundarkali,http://www.tanarang.com/english/sundarkali_eng.htm
112,-,-,-,Audhav-Audhav,Night,",n ,n ,D ; ,D ,n S ; g m g S ; g m D ; n D ; m D n S; S D n D m g S;","S g m D n S - S n D m g m g S ,n S;",Sundarkauns,http://www.tanarang.com/english/sundar-kauns_eng.htm
113,Kafi,Madhyam,Shadj,Audhav-Shadhav,Anytime in Rainy Season,"m R ,N S ; S ; n D m P n D P ; m R P m D P ; m R ,N S ;","S R m P N S - S n D P ; m D P ; n D P m R ; ,N S;",Surdasi Malhar,http://www.tanarang.com/english/surdasi-malhar_eng.htm
114,Khamaj,Shadj,Pancham,Audhav-Sampurna,Night,",P ,N S R G S ; R P m G ; S R G S ,N ; S R m P S ; S R G S ; S P D m G ; S R m G ; S R G S ,N ; ",",P ,N S R G S ; S R m P N S’ - S’ P D m G ; S R G S ,N ; ,P ,N S R G S ; ",Tilak Kamod,http://www.tanarang.com/english/tilak-kamod_eng.htm
115,Khamaj,Gandhar,Nishad,Audhav-Audhav,Night,G m P n P m G ; n P G m G ;,S G m P N S - S n P m G S;,Tilang,http://www.tanarang.com/english/tilang_eng.htm
116,Khamaj ,Gandhar,Nishad (when Tilang is dominant) or Madhyam,ShadhavSampurna,Night,m P m g ; m ; n P m ; P N S ; g m P m g m R S,S R S m ; G m P n P ; m D N S - S n P m g m R S,Tilang Bahar,http://www.tanarang.com/english/tilang-bahar_eng.htm
117,Todi,Dhaivat,Gandhar,Sampurna-Sampurna,Late morning,",d ; ,N S r g ; M r g ; r S;",S r g M P d N S - S N d P M g r S;,Todi,http://www.tanarang.com/english/todi_eng.htm
118,Carnatic Music System,Shadj,Pancham,Audhav-Sampurna,Dusk,",n S G M ; P D P ; M G R S ; R ,n S ; M G R S ; ","S G M P n S - S n D P M G R S; ,n S; ",Vachaspati,http://www.tanarang.com/english/vachaspati_eng.htm
119,Bhairav,Dhaivat,Rishabh,Audhav-Audhav,Early Morning, P d d P ; G P G r S ;,S r G P d S - S d P G r S ; ,Vibhas,http://www.tanarang.com/english/vibhas_eng.htm
